c	bw
	1.000000e-011	6.637010e+005
	1.148700e-011	5.931100e+005
	1.319510e-011	5.285760e+005
	1.515720e-011	4.699860e+005
	1.741100e-011	4.168520e+005
	2.000000e-011	3.689220e+005
	2.297400e-011	3.259940e+005
	2.639020e-011	2.876030e+005
	3.031430e-011	2.533470e+005
	3.482200e-011	2.228780e+005
	4.000000e-011	1.958530e+005
	4.594790e-011	1.719390e+005
	5.278030e-011	1.508340e+005
	6.062870e-011	1.322520e+005
	6.964400e-011	1.158920e+005
	8.000000e-011	1.015090e+005
	9.189590e-011	8.888030e+004
	1.055610e-010	7.780440e+004
	1.212570e-010	6.809940e+004
	1.392880e-010	5.960280e+004
	1.600000e-010	5.216940e+004
	1.837920e-010	4.567030e+004
	2.111210e-010	3.999110e+004
	2.425150e-010	3.503070e+004
	2.785760e-010	3.070680e+004
	3.200000e-010	2.693280e+004
	3.675830e-010	2.363940e+004
	4.222430e-010	2.076600e+004
	4.850290e-010	1.825940e+004
	5.571520e-010	1.607330e+004
	6.400000e-010	1.416670e+004
	7.351670e-010	1.250960e+004
	8.444850e-010	1.106490e+004
	9.700590e-010	9.804490e+003
	1.000000e-009	9.550770e+003
